Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Mar 3 2017,MIAOH,55,OHIO,69,L,-13.0,L,146.5,U
Mar 10 2016,MIAOH,81,BUFF,94,L,-6.0,L,136.0,O
Mar 7 2016,MIAOH,49,BALL,47,W,-6.5,W,125.5,U
Mar 4 2016,OHIO,67,MIAOH,65,L,+2.5,W,140.5,U
Mar 1 2016,MIAOH,67,BUFF,59,W,-10.0,W,141.5,U
Mar 9 2015,MIAOH,61,EMICH,62,L,-7.5,W,134.5,U
Mar 6 2015,MIAOH,65,OHIO,95,L,-2.0,L,139.5,O
Mar 3 2015,AKRON,63,MIAOH,70,W,+3.5,W,132.0,O
Mar 12 2014,MIAOH,55,OHIO,63,L,-5.5,L,134.0,U
Mar 10 2014,KENT,64,MIAOH,71,W,-1.5,W,135.0,P
Mar 8 2014,OHIO,82,MIAOH,76,L,+2.5,L,133.5,O
Mar 4 2014,MIAOH,73,KENT,61,W,-5.5,W,137.0,U
Mar 1 2014,MIAOH,55,BUFF,78,L,-11.0,L,136.5,U
Mar 13 2013,MIAOH,47,EMICH,58,L,+2.0,L,111.0,U
Mar 11 2013,MIAOH,63,BOWLG,52,W,-6.5,W,124.0,U
Mar 9 2013,MIAOH,54,OHIO,58,L,-16.0,W,139.0,U
Mar 5 2013,MIAOH,58,AKRON,72,L,-16.5,W,135.5,U
Mar 2 2013,KENT,78,MIAOH,58,L,+2.0,L,141.0,U
Mar 5 2012,MIAOH,53,TOLDO,60,L,-1.5,L,126.0,U
Mar 3 2012,OHIO,63,MIAOH,54,L,+3.5,L,127.5,U
Mar 16 2011,MIAOH,59,RHODEI,76,L,-8.5,L,133.5,O
Mar 10 2011,AKRON,82,MIAOH,75,L,+3.5,L,132.0,O
Mar 4 2011,OHIO,66,MIAOH,76,W,+1.0,W,141.5,O
Mar 2 2011,MIAOH,49,BUFF,59,L,-9.5,L,138.0,U
Mar 12 2010,OHIO,54,MIAOH,42,L,+1.5,L,130.0,U
Mar 11 2010,BUFF,59,MIAOH,73,W,+2.0,W,128.0,O
