Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Mar 20 2016,NIOWA,88,TEXAM,92,L,-7.0,W,130.0,O
Mar 18 2016,NIOWA,75,TEXAS,72,W,-3.5,W,126.0,O
Mar 6 2016,NIOWA,56,EVANS,54,W,0.0,W,123.0,U
Mar 5 2016,NIOWA,57,WICHI,52,W,-9.0,W,123.0,U
Mar 4 2016,S.ILL,60,NIOWA,66,W,-6.0,P,131.5,U
Mar 22 2015,NIOWA,53,LOUIS,66,L,+2.5,L,119.0,P
Mar 20 2015,WYOM,54,NIOWA,71,W,-6.5,W,110.5,O
Mar 8 2015,ILLST,60,NIOWA,69,W,-6.5,W,116.5,O
Mar 7 2015,NIOWA,63,LOYCH,49,W,+9.5,W,114.0,U
Mar 6 2015,BRAD,46,NIOWA,71,W,-15.0,W,107.0,O
Mar 7 2014,S.ILL,63,NIOWA,58,L,-5.0,L,133.0,U
Mar 1 2014,NIOWA,71,INDST,69,W,-2.5,W,137.5,O
Mar 30 2013,WEBER,59,NIOWA,56,L,-6.0,L,139.0,U
Mar 26 2013,BRAD,77,NIOWA,90,W,-11.0,W,135.5,O
Mar 23 2013,ILCHI,51,NIOWA,63,W,-12.5,L,130.0,U
Mar 20 2013,NDAKOT,66,NIOWA,77,W,-16.0,L,135.5,O
Mar 8 2013,ILLST,73,NIOWA,65,L,+1.5,L,129.5,O
Mar 2 2013,ILLST,72,NIOWA,80,W,-3.5,W,133.0,O
Mar 18 2012,NIOWA,63,DREXL,65,L,-7.5,W,122.5,O
Mar 14 2012,NIOWA,67,STJOE,65,W,-6.5,W,130.5,O
Mar 2 2012,NIOWA,42,ILLST,54,L,+2.5,L,123.0,U
Mar 21 2011,SMU,57,NIOWA,50,L,-7.5,L,119.0,U
Mar 15 2011,RIDER,50,NIOWA,84,W,-6.0,W,135.5,U
Mar 4 2011,CREIG,60,NIOWA,57,L,+1.5,L,123.5,U
Mar 26 2010,NIOWA,52,MICHS,59,L,-1.0,L,121.5,U
Mar 20 2010,NIOWA,69,KANSA,67,W,-11.5,W,127.5,O
Mar 18 2010,NIOWA,69,UNLV,66,W,+1.0,W,116.0,O
